%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
72.0, -106363.0558685131, -108760.39222006706, -115673.96559404918, -118656.96235382109, -119688.09302903332, -111844.48592001032, -118042.06586385559, -116365.59562272974, -119549.64632387714, -115211.86562918016, -113487.69676538667, -115389.38318364421, -119337.52826899628, -120548.65754230709, -113659.1793488478, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 176.0, 0.0, 0.0, 0.0, 1.719437324235604E9, 0.0, 2024-06-26 16:28:44.235
74.0, -106469.47252386481, -108874.20730283349, -115786.03724074809, -118767.40232317476, -119801.88576005529, -111957.83161614319, -118157.51262396725, -116480.84121714131, -119533.68717833605, -115199.50511449637, -113480.29833797198, -115390.43371563361, -119320.9656263549, -120534.73240551143, -113641.65558119483, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 184.0, 0.0, 0.0, 0.0, 1.719437324242672E9, 0.0, 2024-06-26 16:28:44.242
76.0, -105174.83713326897, -107556.10258055957, -114491.67007108571, -117495.45395320105, -118518.51564866492, -110675.19911231985, -116856.01524782363, -115178.15919854156, -119169.64431639247, -114840.60315377751, -113121.01639759737, -115035.89034508352, -118958.15211035636, -120167.40383713292, -113282.37364082022, 0.0, 0.0, 0.0, 0.0, 196.0, 124.5, 88.0, 0.0, 5.0, 80.0, 192.0, 0.0, 0.0, 0.0, 1.719437324250632E9, 0.0, 2024-06-26 16:28:44.250
78.0, -104348.33667854509, -106746.76826557735, -113665.25902333963, -116653.6872570142, -117682.20277812515, -109840.54027086977, -116034.61099083556, -114358.27486017643, -117606.25155046601, -113281.85955069776, -111568.4865794762, -113498.98439633661, -117391.25012055042, -118600.61360604926, -111713.43764226887, 0.0, 0.0, 0.0, 0.0, 196.0, 20.0, 96.0, 0.0, 5.0, 80.0, 200.0, 0.0, 0.0, 0.0, 1.719437324259652E9, 0.0, 2024-06-26 16:28:44.259
80.0, -104461.30239502221, -106859.89044426566, -113773.73203918124, -116755.38769428585, -117787.12186659836, -109944.81115875379, -116142.16758515449, -114466.74787601804, -117506.76393589545, -113171.17371215508, -111443.42856924875, -113345.78553983994, -117294.5341222923, -118506.64687235915, -111616.16285039937, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 208.0, 0.0, 0.0, 0.0, 1.71943732426675E9, 0.0, 2024-06-26 16:28:44.266
82.0, -104377.885684715, -106776.02669906935, -113691.65643354136, -116676.19546368069, -117707.32613889291, -109864.92602407052, -116062.1483400045, -114386.05807853438, -117541.63265724572, -113207.16002072812, -111490.99308144965, -113406.85050569184, -117326.38535814111, -118538.49810820796, -111647.16471995888, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 216.0, 0.0, 0.0, 0.0, 1.71943732427678E9, 0.0, 2024-06-26 16:28:44.276
84.0, -104433.83210108663, -106836.26465037641, -113747.26757374617, -116727.62682767236, -117761.01502907457, -109917.81025145177, -116116.48543077534, -114440.75279721651, -117490.08953453178, -113151.57123226777, -111423.58022017244, -113326.13835646372, -117275.26691857183, -118487.75964829442, -111597.52149552364, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 224.0, 0.0, 0.0, 0.0, 1.719437324283781E9, 0.0, 2024-06-26 16:28:44.283
86.0, -104531.10689295613, -106931.25956431146, -113843.80475804863, -116826.42153816481, -117858.15571047732, -110015.219153788, -116212.59793193317, -114537.84877513038, -117597.57907361735, -113260.44657950957, -111543.8773088309, -113454.25855568155, -117380.78950414533, -118593.12577165673, -111700.16070606241, 0.0, 0.0, 0.0, 0.0, 196.0, 124.5, 88.0, 0.0, 5.0, 80.0, 232.0, 0.0, 0.0, 0.0, 1.719437324291752E9, 0.0, 2024-06-26 16:28:44.291
88.0, -104320.62051542051, -106718.04627395229, -113635.95588635873, -116621.72426244311, -117653.97252487809, -109809.918380966, -116005.01728117673, -114328.36822609523, -117601.58003587485, -113267.0850476128, -111539.87634657341, -113443.08268345389, -117390.33369902775, -118602.17822816114, -111712.36475853501, 0.0, 0.0, 0.0, 0.0, 196.0, 19.5, 176.0, 0.0, 5.0, 80.0, 240.0, 0.0, 0.0, 0.0, 1.719437324298794E9, 0.0, 2024-06-26 16:28:44.298
90.0, -103912.67882736669, -106311.22217312125, -113224.21440174752, -116210.13924004308, -117239.81705186571, -109397.08166087647, -115592.7840581875, -113917.29729381768, -117139.41301577247, -112809.16485895692, -111094.56254179032, -113014.93501841248, -116924.56804806806, -118135.89848707897, -111245.0568372079, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 248.0, 0.0, 0.0, 0.0, 1.719437324306774E9, 0.0, 2024-06-26 16:28:44.306
