%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
60.0, -94165.19482912956, -96898.90258299143, -104146.61218483595, -106835.77291199839, -107781.16229548006, -100165.58768339011, -106259.29907075156, -104541.7239715724, -107459.87832067948, -103351.2924136272, -101575.91570328662, -103439.3135832922, -107327.06425512604, -108613.18363108441, -101529.89346145315, -102332.96928798787, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 181.0, 0.0, 0.0, 0.0, 1.719437669315873E9, 0.0, 2024-06-26 16:34:29.315
62.0, -94159.42807906009, -96893.2252398998, -104142.11948420042, -106829.76029273991, -107776.17785646653, -100160.33502344311, -106252.54884392607, -104536.53836685877, -107448.09895135152, -103335.62384076403, -101558.19076993356, -103415.41956846949, -107314.05553985304, -108599.16908731093, -101519.54460377034, -102316.63016279104, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 189.0, 0.0, 0.0, 0.0, 1.719437669323871E9, 0.0, 2024-06-26 16:34:29.323
64.0, -94176.23659089049, -96909.38555114098, -104157.49748438568, -106846.65821154813, -107791.28763571831, -100176.00359630628, -106266.80925688855, -104552.78808507777, -107459.90067242393, -103348.43139033692, -101574.30637768583, -103436.3631530241, -107325.41022603634, -108610.68023570541, -101526.98773467395, -102329.95180248641, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 197.0, 0.0, 0.0, 0.0, 1.719437669331842E9, 0.0, 2024-06-26 16:34:29.331
66.0, -94163.6749105066, -96898.61201031352, -104146.70159181376, -106834.09653116424, -107781.45286815797, -100164.53715140071, -106251.92299508132, -104540.919308772, -107461.57705325808, -103347.4926170698, -101571.19948520655, -103427.75773140881, -107328.22654583771, -108611.70841595036, -101531.74865624293, -102329.12478794156, 0.0, 0.0, 0.0, 196.0, 127.0, 24.0, 0.0, 10.0, 148.0, 205.0, 0.0, 0.0, 0.0, 1.719437669339854E9, 0.0, 2024-06-26 16:34:29.339
68.0, -94164.14429714017, -96898.79082426916, -104146.76864704712, -106835.50469106493, -107781.07288850224, -100164.58185488962, -106248.43612294628, -104541.3216401722, -107457.12905611147, -103344.60924203506, -101570.30541542833, -103431.84810064413, -107321.72218820122, -108606.45575600336, -101523.45615905001, -102325.86143325108, 0.0, 0.0, 0.0, 196.0, 17.5, 64.0, 0.0, 10.0, 148.0, 213.0, 0.0, 0.0, 0.0, 1.71943766934794E9, 0.0, 2024-06-26 16:34:29.347
70.0, -94156.50000053644, -96892.15235616594, -104141.06895221102, -106828.17331888358, -107776.02139425534, -100159.06097400916, -106242.71407636572, -104535.48783486937, -107449.59651823003, -103338.8871954545, -101561.36471764621, -103419.17466153797, -107317.74357768818, -108601.67248268992, -101522.29386833834, -102320.42995934845, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 221.0, 0.0, 0.0, 0.0, 1.719437669354898E9, 0.0, 2024-06-26 16:34:29.354
72.0, -94161.10445989424, -96894.87926898948, -104142.29829815606, -106830.69906600703, -107775.4849523884, -100160.55854088767, -106242.44585543226, -104536.51601511432, -107448.45657926281, -103338.77543673223, -101563.35402290274, -103424.94141160745, -107315.44134800928, -108600.91252337844, -101516.8623944357, -102320.27349713726, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 229.0, 0.0, 0.0, 0.0, 1.719437669362908E9, 0.0, 2024-06-26 16:34:29.362
74.0, -94153.66132899062, -96888.1737456529, -104138.99023997669, -106825.5134612934, -107773.92033027654, -100157.22813096382, -106239.33896295297, -104533.16325344602, -107451.67523046437, -103339.37893383253, -101562.68347056907, -103420.3146005052, -107318.32472304402, -108602.34303502359, -101520.9080601821, -102321.21227040437, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 237.0, 0.0, 0.0, 0.0, 1.719437669371999E9, 0.0, 2024-06-26 16:34:29.371
76.0, -94149.61566324421, -96883.39047233945, -104131.63651605089, -106819.29967633482, -107764.86787377213, -100149.00268900428, -106230.59943087095, -104524.89310799756, -107443.02510536017, -103331.6899337399, -101556.53674084386, -103416.78302488125, -107308.04292059457, -108593.06706107463, -101510.17922284357, -102312.58449704463, 0.0, 0.0, 0.0, 196.0, 127.0, 48.0, 0.0, 10.0, 148.0, 245.0, 0.0, 0.0, 0.0, 1.719437669378941E9, 0.0, 2024-06-26 16:34:29.378
78.0, -94136.94222413805, -96874.24860885723, -104123.56753630252, -106809.53196400785, -107758.00588822436, -100140.97841274482, -106222.91043077833, -104516.80177650474, -107437.79479715762, -103324.42561679192, -101547.99837446194, -103406.07653928717, -107303.4831647257, -108586.36153773803, -101505.50770825241, -102305.81191847468, 0.0, 0.0, 0.0, 196.0, 17.5, 128.0, 0.0, 10.0, 148.0, 253.0, 0.0, 0.0, 0.0, 1.719437669386957E9, 0.0, 2024-06-26 16:34:29.386
